postal_code,location_name,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,visual_center_x,visual_center_y,changed_at,geo_changed_at,geo_version,dagi_id
1206,Koebenhavn K,12.57663485,55.67728592,12.57736792,55.67783572,12.57706457,55.67754793,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191206
1207,Koebenhavn K,12.5759389,55.67782219,12.57707927,55.6784606,12.57661838,55.67810969,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191207
1208,Koebenhavn K,12.57323458,55.67607931,12.57696771,55.67806766,12.57500757,55.6769724,2018-05-17T21:17:17.429Z,2018-05-17T21:17:17.429Z,2,191208
1209,Koebenhavn K,12.57436349,55.67744437,12.57637535,55.67864233,12.57572903,55.67789078,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191209
1210,Koebenhavn K,12.57363111,55.67650687,12.57662327,55.67841288,12.57425967,55.67809804,2019-02-13T22:04:25.816Z,2019-02-13T22:04:25.816Z,3,191210
1211,Koebenhavn K,12.57372036,55.67711113,12.57545182,55.67811281,12.5742407,55.67746346,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191211
1212,Koebenhavn K,12.57783067,55.67661107,12.57950342,55.67748757,12.57874486,55.6770308,2020-04-29T21:07:33.980Z,2020-04-29T21:07:33.980Z,3,191212
1213,Koebenhavn K,12.57718108,55.67621863,12.57874239,55.67710922,12.57779783,55.67665117,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191213
1214,Koebenhavn K,12.57716521,55.67399606,12.58081121,55.67528479,12.57975543,55.67457161,2018-04-30T15:23:13.528Z,2016-11-17T21:28:49.961Z,2,191214
1215,Koebenhavn K,12.58163211,55.67485114,12.58671686,55.67665116,12.58576691,55.67544188,2018-04-30T15:23:13.528Z,2018-01-16T22:10:42.686Z,2,191215
1216,Koebenhavn K,12.58181418,55.67407704,12.58688037,55.67618876,12.58304021,55.67524053,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191216
1218,Koebenhavn K,12.57562106,55.67370618,12.58337715,55.6777235,12.58039426,55.67606465,2020-04-29T21:07:33.980Z,2020-04-29T21:07:33.980Z,4,191218
1219,Koebenhavn K,12.57726027,55.67011736,12.586825,55.67542783,12.58340336,55.67370675,2018-04-30T15:23:13.528Z,2017-11-01T22:10:42.685Z,4,191219
1220,Koebenhavn K,12.57394693,55.67245008,12.58109258,55.67623161,12.57862049,55.67358331,2018-04-30T15:23:13.528Z,2016-12-06T23:17:47.810Z,5,191220
1221,Koebenhavn K,12.57987822,55.67148938,12.58747082,55.67588951,12.58192337,55.67283897,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,413310
1250,Koebenhavn K,12.58843298,55.67987604,12.59690758,55.68268955,12.58975823,55.68202801,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191250
1251,Koebenhavn K,12.59239008,55.6783403,12.59644524,55.68075588,12.59498748,55.67960602,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191251
1252,Koebenhavn K,12.59446045,55.6803565,12.59785712,55.6828241,12.59617117,55.68145466,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191252
1253,Koebenhavn K,12.59118887,55.67964814,12.60063804,55.68700473,12.59699341,55.6847672,2020-08-14T21:12:37.212Z,2020-08-14T21:12:37.212Z,4,191253
1254,Koebenhavn K,12.58903782,55.68013309,12.591577,55.68164495,12.59034599,55.68100155,2018-04-30T15:23:13.528Z,2016-11-17T21:28:49.961Z,2,191254
1255,Koebenhavn K,12.58762027,55.68074045,12.58997102,55.68163225,12.58863161,55.68116853,2018-04-30T15:23:13.528Z,2016-11-17T21:28:49.961Z,3,191255
1256,Koebenhavn K,12.59023739,55.68142306,12.60165258,55.68818311,12.59417151,55.68579757,2020-08-14T21:12:37.212Z,2020-08-14T21:12:37.212Z,6,191256
1257,Koebenhavn K,12.59101185,55.68301766,12.59518179,55.6853253,12.59278982,55.68446372,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191257
1259,Koebenhavn K,12.59720467,55.68505059,12.63582658,55.71427214,12.6154165,55.70489621,2018-09-02T21:12:21.101Z,2018-09-02T21:12:21.101Z,2,191259
1260,Koebenhavn K,12.58677582,55.68081387,12.59428028,55.68786782,12.59009759,55.68382322,2019-01-15T22:07:36.262Z,2019-01-15T22:07:36.262Z,4,191260
1261,Koebenhavn K,12.58609898,55.68139507,12.58788327,55.68255718,12.58694628,55.68191836,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191261
1263,Koebenhavn K,12.59009591,55.68645458,12.59861878,55.6897731,12.59622407,55.68876737,2019-08-14T21:09:46.135Z,2019-08-14T21:09:46.135Z,4,191263
1264,Koebenhavn K,12.58493572,55.68132674,12.59161182,55.69127388,12.58756966,55.68424184,2019-03-19T22:13:33.902Z,2019-03-19T22:13:33.902Z,6,191264
1265,Koebenhavn K,12.58836492,55.68390867,12.59216434,55.68569855,12.58943983,55.68485743,2019-03-19T22:13:33.902Z,2019-03-19T22:13:33.902Z,3,191265
1266,Koebenhavn K,12.5904098,55.68749504,12.59170253,55.68831851,12.59098837,55.68789729,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191266
1267,Koebenhavn K,12.58979507,55.68794496,12.59167356,55.68892491,12.5903806,55.68828183,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191267
1268,Koebenhavn K,12.58963864,55.68849961,12.5911715,55.68916348,12.59030867,55.68881006,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191268
1270,Koebenhavn K,12.58735708,55.68766529,12.59356225,55.69160643,12.5908799,55.68984032,2019-08-14T21:09:46.135Z,2019-08-14T21:09:46.135Z,3,191270
1271,Koebenhavn K,12.58953309,55.6890715,12.59016779,55.68938522,12.58981807,55.68924322,2019-01-15T22:07:36.262Z,2019-01-15T22:07:36.262Z,3,191271
1300,Koebenhavn K,12.58302452,55.68185731,12.58909822,55.68852578,12.58427504,55.68267225,2018-11-20T22:13:37.996Z,2018-11-20T22:13:37.996Z,3,191300
1301,Koebenhavn K,12.58454737,55.68271443,12.58651714,55.68376165,12.58587955,55.68334448,2018-04-30T15:23:13.528Z,2016-11-17T21:28:49.961Z,2,191301
1302,Koebenhavn K,12.58256612,55.6826282,12.58965729,55.68529226,12.58409674,55.68448319,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191302
1303,Koebenhavn K,12.58747758,55.68569392,12.58908573,55.68633788,12.58837636,55.68594749,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191303
1304,Koebenhavn K,12.5816758,55.68218171,12.58687564,55.68711005,12.58306965,55.68333481,2018-04-30T15:23:13.528Z,2016-11-17T21:28:49.961Z,2,191304
1306,Koebenhavn K,12.57928022,55.68254734,12.58728359,55.6904331,12.58135321,55.68430724,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191306
1307,Koebenhavn K,12.56973261,55.68465316,12.58680865,55.69138973,12.57998797,55.68643425,2018-05-18T21:15:28.822Z,2018-05-18T21:15:28.822Z,4,191307
1308,Koebenhavn K,12.58214642,55.6858896,12.58742165,55.68716787,12.58479357,55.6865329,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191308
1309,Koebenhavn K,12.58248241,55.68670848,12.58448065,55.68780892,12.58342163,55.68721135,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191309
1310,Koebenhavn K,12.58281787,55.68478699,12.59429639,55.68802262,12.59029867,55.68593955,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191310
1311,Koebenhavn K,12.58309726,55.68639088,12.5894245,55.68845151,12.58380631,55.68811515,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191311
1312,Koebenhavn K,12.58538181,55.68703183,12.58621862,55.68790185,12.58583966,55.68763774,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191312
1313,Koebenhavn K,12.58347673,55.68671823,12.58976485,55.68852257,12.58894598,55.68703948,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191313
1314,Koebenhavn K,12.58595996,55.68720482,12.58792734,55.68833007,12.58633595,55.68750826,2018-04-30T15:23:13.528Z,2016-04-13T20:29:46.699Z,2,191314
1315,Koebenhavn K,12.58728386,55.68741809,12.58833582,55.68783854,12.58791833,55.68763127,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191315
1316,Koebenhavn K,12.58167875,55.68641639,12.58498786,55.6896461,12.58282835,55.68830711,2020-03-04T22:13:58.161Z,2020-03-04T22:13:58.161Z,5,191316
1317,Koebenhavn K,12.58075153,55.68843579,12.58408891,55.68952337,12.58191343,55.68896717,2020-03-04T22:13:58.161Z,2020-03-04T22:13:58.161Z,5,191317
1318,Koebenhavn K,12.58380711,55.68819591,12.58551291,55.68880431,12.58478262,55.68846582,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191318
1319,Koebenhavn K,12.58387026,55.68722949,12.59028994,55.68899467,12.58712218,55.68802871,2018-04-30T15:23:13.528Z,2016-04-13T20:29:46.699Z,2,191319
1320,Koebenhavn K,12.58594004,55.68809035,12.58913844,55.68902552,12.58748743,55.68846691,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191320
1321,Koebenhavn K,12.58879468,55.68768986,12.58999073,55.68825183,12.5895451,55.68791672,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191321
1322,Koebenhavn K,12.58436116,55.6880686,12.59007281,55.68972024,12.58942362,55.68835925,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191322
1323,Koebenhavn K,12.58482119,55.6893856,12.58665288,55.68994689,12.58573703,55.68966625,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191323
1324,Koebenhavn K,12.58628348,55.68854465,12.58955834,55.6896173,12.58712585,55.68930756,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191324
1325,Koebenhavn K,12.58555643,55.68894853,12.58950456,55.69027876,12.58847527,55.68932439,2018-04-30T15:23:13.528Z,2016-11-17T21:28:49.961Z,2,191325
1326,Koebenhavn K,12.58601014,55.68939286,12.5891296,55.6904122,12.58839238,55.68962824,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191326
1327,Koebenhavn K,12.58658722,55.68981117,12.5881423,55.69088135,12.58723576,55.69037471,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191327
1328,Koebenhavn K,12.58726081,55.6896226,12.58893539,55.69122906,12.58836924,55.68991619,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191328
1329,Koebenhavn K,12.58417843,55.68871528,12.58599683,55.6893082,12.58464108,55.68914774,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191329
1350,Koebenhavn K,12.57346757,55.68404226,12.58758373,55.69176783,12.57590522,55.68659617,2018-05-18T21:15:28.822Z,2018-05-18T21:15:28.822Z,4,191350
1352,Koebenhavn K,12.5694568,55.68899094,12.57396633,55.69097477,12.57310725,55.68939296,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191352
1353,Koebenhavn K,12.56886405,55.68540212,12.57572412,55.68943092,12.57119575,55.68704697,2018-05-18T21:15:28.822Z,2018-05-18T21:15:28.822Z,3,191353
1354,Koebenhavn K,12.56884531,55.68863768,12.57347395,55.69075108,12.57096165,55.68980117,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191354
1355,Koebenhavn K,12.5677798,55.68807042,12.57298379,55.69055894,12.5712291,55.68871643,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191355
1356,Koebenhavn K,12.56503675,55.68617153,12.5694213,55.68840847,12.56804206,55.6871711,2018-04-30T15:23:13.528Z,2018-01-02T22:13:15.915Z,2,191356
1357,Koebenhavn K,12.56477425,55.6865481,12.57181365,55.69147634,12.56812794,55.6886384,2018-04-30T15:23:13.528Z,2018-01-02T22:13:15.915Z,2,191357
1358,Koebenhavn K,12.56505165,55.67850801,12.57419554,55.68490577,12.56695637,55.68056747,2018-05-18T21:15:28.822Z,2018-05-18T21:15:28.822Z,2,191358
1359,Koebenhavn K,12.56338228,55.68276131,12.56727007,55.6840989,12.56421074,55.68365009,2018-04-30T15:23:13.528Z,2016-11-10T21:36:32.078Z,2,191359
1360,Koebenhavn K,12.56356176,55.68251469,12.57446489,55.68672712,12.56656367,55.6856827,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191360
1361,Koebenhavn K,12.56710477,55.68170319,12.57216315,55.68514573,12.56876693,55.68296065,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191361
1362,Koebenhavn K,12.56696574,55.68263171,12.57087356,55.68539059,12.56993139,55.68488443,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191362
1363,Koebenhavn K,12.56443552,55.68278074,12.57132596,55.68572539,12.56557099,55.68513437,2018-07-10T21:09:46.035Z,2018-07-10T21:09:46.035Z,2,191363
1364,Koebenhavn K,12.56316574,55.67880742,12.56985414,55.68596959,12.56643374,55.68207564,2018-07-10T21:09:46.035Z,2018-07-10T21:09:46.035Z,3,191364
1365,Koebenhavn K,12.56376871,55.68168565,12.56523431,55.68251124,12.56444325,55.68208169,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191365
1366,Koebenhavn K,12.56076454,55.68036431,12.56887141,55.68653826,12.56325243,55.68207959,2018-07-10T21:09:46.035Z,2018-07-10T21:09:46.035Z,2,191366
1367,Koebenhavn K,12.56103242,55.68270195,12.56455196,55.68395856,12.56359571,55.68310746,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191367
1368,Koebenhavn K,12.5613706,55.68094225,12.56452727,55.68225228,12.56378826,55.68138249,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191368
1369,Koebenhavn K,12.55786281,55.67977809,12.56416682,55.68309392,12.55953017,55.68214443,2018-04-30T15:23:13.528Z,2015-04-09T08:23:44.102Z,2,191369
1370,Koebenhavn K,12.56019259,55.68122335,12.56540559,55.6858466,12.56346092,55.68484818,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191370
1371,Koebenhavn K,12.56291844,55.68517881,12.56628547,55.6868142,12.56404534,55.68594651,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191371
1400,Koebenhavn K,12.58601151,55.66912275,12.60068949,55.67535699,12.59681168,55.67038519,2019-09-13T21:13:15.692Z,2019-09-13T21:13:15.692Z,5,191400
1401,Koebenhavn K,12.58651728,55.67141337,12.59899708,55.67917106,12.59566443,55.67729107,2019-09-13T21:13:15.692Z,2019-09-13T21:13:15.692Z,5,191401
1402,Koebenhavn K,12.58297171,55.67037689,12.59007366,55.67623291,12.58542262,55.67280147,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191402
1403,Koebenhavn K,12.59248266,55.67448475,12.59549007,55.67641735,12.5941033,55.67539344,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191403
